L,a,b
47.5,36,-48
30,24,-12
65,12,-12
47.5,24,-12
47.5,36,-36
47.5,48,24
47.5,48,12
47.5,48,-36
30,24,12
65,12,-24
65,24,12
65,-12,24
47.5,-12,24
47.5,48,0
47.5,48,-24
47.5,12,-24
47.5,36,-12
30,12,-12
47.5,24,12
47.5,-12,12
47.5,12,-12
47.5,0,36
65,0,12
47.5,36,0
47.5,24,-24
65,24,-24
47.5,12,12
47.5,12,36
65,12,12
47.5,24,36
47.5,36,36
65,0,-24
65,-36,36
65,24,0
65,-24,48
47.5,36,-24
65,-24,36
30,12,12
30,24,-24
47.5,0,24
30,12,12
47.5,24,0
47.5,48,-12
65,12,36
65,24,-12
47.5,12,0
47.5,48,36
47.5,36,24
65,-12,48
30,0,12
65,-24,24
65,-24,12
65,-12,36
65,0,-12
47.5,36,12
47.5,24,24
65,0,24
47.5,0,-12
30,0,12
30,24,0
47.5,-12,36
47.5,12,24
65,0,48
65,-12,-12
65,36,-24
65,12,48
65,-36,48
47.5,0,12
47.5,24,-36
65,12,24
47.5,48,-48
47.5,-24,36
65,12,0
30,12,0
30,12,0
30,36,-36
65,-12,0
65,0,36
65,-12,12
