Axis,Width,DE
L,0.25,4.042
L,0.25,6.062
L,0.25,8.083
L,0.25,10.104
L,0.25,12.125
L,0.25,16.166
L,0.5,3.291
L,0.5,4.936
L,0.5,6.581
L,0.5,8.226
L,0.5,9.872
L,0.5,13.162
L,0.75,3.04
L,0.75,4.56
L,0.75,6.08
L,0.75,7.6
L,0.75,9.121
L,0.75,12.161
L,1,2.915
L,1,4.373
L,1,5.83
L,1,7.288
L,1,8.745
L,1,11.66
L,1.5,2.79
L,1.5,4.185
L,1.5,5.58
L,1.5,6.975
L,1.5,8.37
L,1.5,11.16
L,2,2.727
L,2,4.091
L,2,5.455
L,2,6.818
L,2,8.182
L,2,10.909
a,0.25,5.751
a,0.25,8.627
a,0.25,11.503
a,0.25,14.379
a,0.25,17.254
a,0.25,23.006
a,0.5,4.21
a,0.5,6.316
a,0.5,8.421
a,0.5,10.526
a,0.5,12.631
a,0.5,16.842
a,0.75,3.697
a,0.75,5.545
a,0.75,7.394
a,0.75,9.242
a,0.75,11.09
a,0.75,14.787
a,1,3.44
a,1,5.16
a,1,6.88
a,1,8.6
a,1,10.32
a,1,13.76
a,1.5,3.183
a,1.5,4.774
a,1.5,6.366
a,1.5,7.957
a,1.5,9.549
a,1.5,12.732
a,2,3.055
a,2,4.582
a,2,6.109
a,2,7.637
a,2,9.164
a,2,12.219
b,0.25,8.417
b,0.25,12.625
b,0.25,16.833
b,0.25,21.041
b,0.25,25.25
b,0.25,33.666
b,0.5,5.546
b,0.5,8.318
b,0.5,11.091
b,0.5,13.864
b,0.5,16.637
b,0.5,22.182
b,0.75,4.589
b,0.75,6.883
b,0.75,9.177
b,0.75,11.471
b,0.75,13.766
b,0.75,18.354
b,1,4.11
b,1,6.165
b,1,8.22
b,1,10.275
b,1,12.33
b,1,16.44
b,1.5,3.632
b,1.5,5.447
b,1.5,7.263
b,1.5,9.079
b,1.5,10.895
b,1.5,14.526
b,2,3.392
b,2,5.088
b,2,6.785
b,2,8.481
b,2,10.177
b,2,13.569
